Line #,State abbreviation,State name,Congressional district, Citizen voting-age population estimate , Less than 9th grade estimate , Less than 9th grade percent of total , 9th to 12 Grade no diploma estimate , 9th to 12 Grade no diploma percent of total , High school graduate estimate , High school graduate percent of total , Some college no degree estimate , Some college no degree percent of total , Associate degree estimate , Associate degree percent of total , Bachelor degree estimate , Bachelor degree percent of total , Graduate degree estimate , Graduate degree percent of total , High school or more estimate , High school or more percent of total , Bachelor degree or more estimate 
300,OH,Ohio,1,541695,12480,2.3,37906,7,159131,29.4,112921,20.8,42517,7.8,109523,20.2,67217,12.4,491309,90.7,176740
301,OH,Ohio,2,557971,12806,2.3,38836,7,179331,32.1,115407,20.7,42885,7.7,107448,19.3,61258,11,506329,90.7,168706
302,OH,Ohio,3,560963,12033,2.1,46819,8.3,162352,28.9,149107,26.6,41456,7.4,102291,18.2,46905,8.4,502111,89.5,149196
303,OH,Ohio,4,542874,8396,1.5,40645,7.5,227241,41.9,118829,21.9,54698,10.1,61147,11.3,31918,5.9,493833,91,93065
304,OH,Ohio,5,549171,8179,1.5,33024,6,194792,35.5,126171,23,49952,9.1,85505,15.6,51548,9.4,507968,92.5,137053
305,OH,Ohio,6,545803,15035,2.8,45891,8.4,243105,44.5,104787,19.2,50815,9.3,55394,10.1,30776,5.6,484877,88.8,86170
306,OH,Ohio,7,557024,25543,4.6,40928,7.3,216413,38.9,118866,21.3,45198,8.1,70596,12.7,39480,7.1,490553,88.1,110076
307,OH,Ohio,8,546406,11657,2.1,39929,7.3,194706,35.6,129108,23.6,46735,8.6,83985,15.4,40286,7.4,494820,90.6,124271
308,OH,Ohio,9,545749,15058,2.8,48500,8.9,179845,33,139469,25.6,46334,8.5,76917,14.1,39626,7.3,482191,88.4,116543
309,OH,Ohio,10,552514,9937,1.8,38545,7,153389,27.8,146059,26.4,49346,8.9,89308,16.2,65930,11.9,504032,91.2,155238
310,OH,Ohio,11,524803,15282,2.9,54749,10.4,151651,28.9,124933,23.8,39417,7.5,82102,15.6,56669,10.8,454772,86.7,138771
311,OH,Ohio,12,585940,9882,1.7,28982,4.9,161706,27.6,121457,20.7,39600,6.8,145735,24.9,78578,13.4,547076,93.4,224313
312,OH,Ohio,13,559931,12042,2.2,42021,7.5,202284,36.1,143217,25.6,39416,7,78664,14,42287,7.6,505868,90.3,120951
313,OH,Ohio,14,553668,16280,2.9,28544,5.2,163375,29.5,109869,19.8,43396,7.8,121554,22,70650,12.8,508844,91.9,192204
314,OH,Ohio,15,586092,10635,1.8,40687,6.9,190377,32.5,126001,21.5,42927,7.3,110222,18.8,65243,11.1,534770,91.2,175465
315,OH,Ohio,16,553316,10777,1.9,22848,4.1,164323,29.7,123950,22.4,48612,8.8,117209,21.2,65597,11.9,519691,93.9,182806
316,OK,Oklahoma,1,565812,10635,1.9,40682,7.2,156559,27.7,147183,26,49828,8.8,110571,19.5,50354,8.9,514495,90.9,160925
317,OK,Oklahoma,2,564213,19429,3.4,63222,11.2,218810,38.8,128176,22.7,44414,7.9,61249,10.9,28913,5.1,481562,85.4,90162
318,OK,Oklahoma,3,571661,13873,2.4,47362,8.3,199176,34.8,150474,26.3,42061,7.4,83205,14.6,35510,6.2,510426,89.3,118715
319,OK,Oklahoma,4,589702,13067,2.2,41027,7,190794,32.4,167764,28.4,43067,7.3,84048,14.3,49935,8.5,535608,90.8,133983
