Line #,State abbreviation,State name,Congressional district, Citizen voting-age population estimate , Less than 9th grade estimate , Less than 9th grade percent of total , 9th to 12 Grade no diploma estimate , 9th to 12 Grade no diploma percent of total , High school graduate estimate , High school graduate percent of total , Some college no degree estimate , Some college no degree percent of total , Associate degree estimate , Associate degree percent of total , Bachelor degree estimate , Bachelor degree percent of total , Graduate degree estimate , Graduate degree percent of total , High school or more estimate , High school or more percent of total , Bachelor degree or more estimate 
367,TX,Texas,5,480610,16829,3.5,46937,9.8,155923,32.4,130104,27.1,31560,6.6,65144,13.6,34113,7.1,416844,86.7,99257
368,TX,Texas,6,554709,13154,2.4,31777,5.7,147335,26.6,158199,28.5,48151,8.7,105062,18.9,51031,9.2,509778,91.9,156093
369,TX,Texas,7,448262,10368,2.3,19913,4.4,66639,14.9,99713,22.2,30932,6.9,138442,30.9,82255,18.3,417981,93.2,220697
370,TX,Texas,8,584039,17410,3,37689,6.5,155417,26.6,152589,26.1,44233,7.6,123230,21.1,53471,9.2,528940,90.6,176701
371,TX,Texas,9,445634,25222,5.7,39474,8.9,128128,28.8,119357,26.8,28687,6.4,68378,15.3,36388,8.2,380938,85.5,104766
372,TX,Texas,10,593629,16790,2.8,29862,5,127610,21.5,140595,23.7,40149,6.8,157916,26.6,80707,13.6,546977,92.1,238623
373,TX,Texas,11,542570,24329,4.5,53711,9.9,166071,30.6,146282,27,40536,7.5,80036,14.8,31605,5.8,464530,85.6,111641
374,TX,Texas,12,572411,15056,2.6,36154,6.3,163838,28.6,133565,23.3,47514,8.3,119430,20.9,56854,9.9,521201,91.1,176284
375,TX,Texas,13,493390,19071,3.9,42072,8.5,159735,32.4,134726,27.3,38262,7.8,69190,14,30334,6.1,432247,87.6,99524
376,TX,Texas,14,532153,16459,3.1,45405,8.5,155103,29.1,142733,26.8,46284,8.7,89302,16.8,36867,6.9,470289,88.4,126169
377,TX,Texas,15,435170,32919,7.6,50370,11.6,121086,27.8,112675,25.9,26700,6.1,64097,14.7,27323,6.3,351881,80.9,91420
378,TX,Texas,16,458940,32928,7.2,28235,6.2,109917,24,137063,29.9,39493,8.6,74350,16.2,36954,8.1,397777,86.7,111304
379,TX,Texas,17,550601,12257,2.2,38144,6.9,142991,26,155411,28.2,46023,8.4,102303,18.6,53472,9.7,500200,90.8,155775
380,TX,Texas,18,480387,25920,5.4,43522,9.1,141147,29.4,120080,25,29586,6.2,80038,16.7,40094,8.3,410945,85.5,120132
381,TX,Texas,19,509891,23661,4.6,46951,9.2,157415,30.9,139405,27.3,33887,6.6,75497,14.8,33075,6.5,439279,86.2,108572
382,TX,Texas,20,549483,27712,5,48629,8.8,157025,28.6,141805,25.8,47680,8.7,84894,15.4,41738,7.6,473142,86.1,126632
383,TX,Texas,21,622228,10205,1.6,26047,4.2,121992,19.6,157308,25.3,39541,6.4,173724,27.9,93411,15,585976,94.2,267135
384,TX,Texas,22,577164,15242,2.6,23700,4.1,115783,20.1,141733,24.6,42643,7.4,149108,25.8,88955,15.4,538222,93.3,238063
385,TX,Texas,23,507547,38650,7.6,53003,10.4,152661,30.1,120113,23.7,36111,7.1,67459,13.3,39550,7.8,415894,81.9,107009
386,TX,Texas,24,503766,8057,1.6,20675,4.1,90158,17.9,115974,23,41621,8.3,153596,30.5,73685,14.6,475034,94.3,227281
387,TX,Texas,25,570238,15154,2.7,34531,6.1,140774,24.7,140900,24.7,34915,6.1,127533,22.4,76431,13.4,520553,91.3,203964
388,TX,Texas,26,605249,9183,1.5,25823,4.3,114186,18.9,161362,26.7,42384,7,174182,28.8,78129,12.9,570243,94.2,252311
389,TX,Texas,27,517267,25356,4.9,50656,9.8,168156,32.5,137109,26.5,40821,7.9,64258,12.4,30911,6,441255,85.3,95169
390,TX,Texas,28,434305,35638,8.2,48991,11.3,126697,29.2,107954,24.9,35198,8.1,54857,12.6,24970,5.7,349676,80.5,79827
391,TX,Texas,29,369239,40532,11,51191,13.9,121854,33,87121,23.6,23151,6.3,31767,8.6,13623,3.7,277516,75.2,45390
392,TX,Texas,30,479082,24579,5.1,44705,9.3,149604,31.2,125965,26.3,29569,6.2,71420,14.9,33240,6.9,409798,85.5,104660
393,TX,Texas,31,602236,11734,1.9,27478,4.6,146309,24.3,157690,26.2,58782,9.8,133819,22.2,66424,11,563024,93.5,200243
394,TX,Texas,32,505867,13515,2.7,20925,4.1,93516,18.5,112584,22.3,32282,6.4,144523,28.6,88522,17.5,471427,93.2,233045
395,TX,Texas,33,360226,31822,8.8,51271,14.2,129159,35.9,82816,23,19899,5.5,32501,9,12758,3.5,277133,76.9,45259
396,TX,Texas,34,424863,37002,8.7,56102,13.2,138012,32.5,98966,23.3,30221,7.1,43871,10.3,20689,4.9,331759,78.1,64560
397,TX,Texas,35,532967,25979,4.9,47413,8.9,176969,33.2,128943,24.2,37367,7,84615,15.9,31681,5.9,459575,86.2,116296
398,TX,Texas,36,519385,20352,3.9,53698,10.3,178104,34.3,135197,26,40886,7.9,62026,11.9,29122,5.6,445335,85.7,91148
399,UT,Utah,1,521517,6163,1.2,31278,6,136499,26.2,149871,28.7,50547,9.7,102135,19.6,45024,8.6,484076,92.8,147159
400,UT,Utah,2,529608,8771,1.7,31073,5.9,132552,25,140241,26.5,54991,10.4,103535,19.5,58445,11,489764,92.5,161980
401,UT,Utah,3,517848,4598,0.9,20274,3.9,95880,18.5,159756,30.8,53701,10.4,120570,23.3,63069,12.2,492976,95.2,183639
402,UT,Utah,4,518368,8612,1.7,29913,5.8,130940,25.3,139902,27,55582,10.7,106008,20.5,47411,9.1,479843,92.6,153419
403,VT,Vermont,1,500274,8442,1.7,24270,4.9,148257,29.6,103584,20.7,39333,7.9,109047,21.8,67341,13.5,467562,93.5,176388
404,VA,Virginia,1,590281,14383,2.4,30751,5.2,162409,27.5,129072,21.9,45670,7.7,129361,21.9,78635,13.3,545147,92.4,207996
405,VA,Virginia,2,559397,7604,1.4,27051,4.8,133312,23.8,155611,27.8,51050,9.1,113919,20.4,70850,12.7,524742,93.8,184769
406,VA,Virginia,3,559137,11991,2.1,39245,7,160058,28.6,157950,28.2,51175,9.2,87587,15.7,51131,9.1,507901,90.8,138718
407,VA,Virginia,4,579606,16972,2.9,48195,8.3,166977,28.8,141145,24.4,44399,7.7,102397,17.7,59521,10.3,514439,88.8,161918
408,VA,Virginia,5,578531,19782,3.4,49096,8.5,181013,31.3,130059,22.5,42943,7.4,93319,16.1,62319,10.8,509653,88.1,155638
409,VA,Virginia,6,582756,16493,2.8,44649,7.7,198634,34.1,129331,22.2,45022,7.7,95417,16.4,53210,9.1,521614,89.5,148627
410,VA,Virginia,7,588061,15614,2.7,35687,6.1,155344,26.4,121679,20.7,40984,7,138251,23.5,80502,13.7,536760,91.3,218753
411,VA,Virginia,8,533417,11602,2.2,14064,2.6,64619,12.1,68068,12.8,29638,5.6,172796,32.4,172630,32.4,507751,95.2,345426
412,VA,Virginia,9,567315,30760,5.4,53639,9.5,185195,32.6,137538,24.2,52281,9.2,64088,11.3,43814,7.7,482916,85.1,107902
413,VA,Virginia,10,565197,8115,1.4,22691,4,95847,17,95638,16.9,35190,6.2,171923,30.4,135793,24,534391,94.5,307716
414,VA,Virginia,11,509988,10259,2,21190,4.2,70213,13.8,93911,18.4,33734,6.6,153067,30,127614,25,478539,93.8,280681
415,WA,Washington,1,519555,8117,1.6,21272,4.1,111183,21.4,128958,24.8,52577,10.1,132406,25.5,65042,12.5,490166,94.3,197448
416,WA,Washington,2,558321,10157,1.8,28630,5.1,134157,24,153650,27.5,62004,11.1,110587,19.8,59136,10.6,519534,93.1,169723
417,WA,Washington,3,544994,7448,1.4,31736,5.8,150910,27.7,151676,27.8,65612,12,90822,16.7,46790,8.6,505810,92.8,137612
418,WA,Washington,4,443137,21318,4.8,40190,9.1,127794,28.8,114101,25.7,41301,9.3,62503,14.1,35930,8.1,381629,86.1,98433
419,WA,Washington,5,551532,7590,1.4,30545,5.5,133086,24.1,160402,29.1,70858,12.8,96781,17.5,52270,9.5,513397,93.1,149051
420,WA,Washington,6,570991,8491,1.5,31190,5.5,139666,24.5,156052,27.3,65801,11.5,104288,18.3,65503,11.5,531310,93.1,169791
421,WA,Washington,7,600321,7538,1.3,14079,2.3,65331,10.9,115927,19.3,43354,7.2,218975,36.5,135117,22.5,578704,96.4,354092
422,WA,Washington,8,522952,7891,1.5,25808,4.9,131034,25.1,128630,24.6,54068,10.3,114799,22,60722,11.6,489253,93.6,175521
423,WA,Washington,9,499184,13959,2.8,23194,4.6,104160,20.9,110487,22.1,44581,8.9,131984,26.4,70819,14.2,462031,92.6,202803
424,WA,Washington,10,544552,8073,1.5,30935,5.7,147847,27.2,144136,26.5,58128,10.7,101863,18.7,53570,9.8,505544,92.8,155433
425,WV,West Virginia,1,486327,10920,2.2,34959,7.2,192057,39.5,104127,21.4,35146,7.2,66447,13.7,42671,8.8,440448,90.6,109118
426,WV,West Virginia,2,487208,18069,3.7,42310,8.7,191095,39.2,100460,20.6,36034,7.4,63357,13,35883,7.4,426829,87.6,99240
427,WV,West Virginia,3,457623,22335,4.9,47870,10.5,184220,40.3,97108,21.2,30933,6.8,45863,10,29294,6.4,387418,84.7,75157
428,WI,Wisconsin,1,539789,9791,1.8,29884,5.5,168799,31.3,129989,24.1,53501,9.9,100122,18.5,47703,8.8,500114,92.6,147825
429,WI,Wisconsin,2,577976,7952,1.4,25388,4.4,135229,23.4,131829,22.8,56604,9.8,140560,24.3,80414,13.9,544636,94.2,220974
430,WI,Wisconsin,3,566700,13703,2.4,26906,4.7,183262,32.3,145575,25.7,67520,11.9,88990,15.7,40744,7.2,526091,92.8,129734
431,WI,Wisconsin,4,493143,14040,2.8,43574,8.8,146683,29.7,120520,24.4,35705,7.2,82535,16.7,50086,10.2,435529,88.3,132621
432,WI,Wisconsin,5,558805,6497,1.2,21693,3.9,152528,27.3,121611,21.8,54786,9.8,135880,24.3,65810,11.8,530615,95,201690
433,WI,Wisconsin,6,556485,10713,1.9,31526,5.7,189317,34,131008,23.5,61275,11,91514,16.4,41132,7.4,514246,92.4,132646
434,WI,Wisconsin,7,552651,13395,2.4,32755,5.9,192544,34.8,121212,21.9,69293,12.5,84204,15.2,39248,7.1,506501,91.6,123452
435,WI,Wisconsin,8,556205,9904,1.8,27884,5,194402,35,118939,21.4,64895,11.7,98775,17.8,41406,7.4,518417,93.2,140181
436,WY,Wyoming,1,433644,6797,1.6,25914,6,128479,29.6,120333,27.7,46062,10.6,67939,15.7,38120,8.8,400933,92.5,106059
